age_group,corrected_2021,corrected_2026,historical_saved,original_refit_2021,without_german_collection_2021
overall,1.4499999999999995,1.4499999999999995,1.4299999999999995,1.4299999999999995,1.4499999999999995
0-12mo,1.4599999999999995,1.4199999999999997,1.4599999999999995,1.4599999999999995,1.4599999999999995
12-24mo,1.3799999999999994,1.3899999999999997,1.3999999999999997,1.3999999999999997,1.3999999999999997
24-36mo,1.4599999999999995,1.4599999999999995,1.4399999999999995,1.4399999999999995,1.4499999999999995
36-48mo,1.4099999999999997,1.3999999999999997,1.3799999999999994,1.3799999999999994,1.3799999999999994
48-60mo,1.3999999999999997,1.3999999999999997,1.3699999999999994,1.3699999999999994,1.3799999999999994
60-72mo,1.3999999999999997,1.4499999999999995,1.2799999999999996,1.2799999999999996,1.3399999999999994
72-84mo,1.3499999999999994,1.5299999999999994,1.2299999999999995,1.2299999999999995,1.3499999999999994
84-96mo,1.3899999999999997,1.5099999999999991,1.2499999999999996,1.2499999999999996,1.3899999999999997
