rank,verb,frequency
1,go,84101
2,do,59849
3,have,47287
4,get,35854
5,think,35451
6,know,35446
7,see,29273
8,want,28211
9,say,23292
10,like,22956
11,wanna,21121
12,put,18427
13,look,14089
14,make,12506
15,come,11808
16,play,11703
17,eat,11355
18,need,9734
19,take,8862
20,tell,7635
21,happen,6472
22,try,5946
23,give,5533
24,find,5498
25,mean,5145
26,sit,4833
27,read,4688
28,remember,4400
29,fall,3961
30,help,3348
31,turn,3260
32,talk,3223
33,hear,3187
34,start,3183
35,use,3123
36,love,3014
37,can,2898
38,show,2787
39,fit,2774
40,work,2670
41,call,2603
42,bring,2499
43,hold,2478
44,pick,2347
45,guess,2275
46,open,2265
47,feel,2263
48,move,2058
49,ask,1996
50,stay,1987
51,wear,1978
52,keep,1942
53,build,1906
54,leave,1875
55,run,1831
56,let,1810
57,walk,1766
58,seem,1691
59,drink,1684
60,hurt,1667
61,throw,1656
62,sleep,1486
63,hit,1481
64,live,1465
65,fix,1464
66,will,1436
67,push,1424
68,watch,1417
69,buy,1416
70,stop,1416
71,finish,1411
72,write,1374
73,draw,1350
74,pull,1318
75,stand,1305
76,wash,1303
77,break,1297
78,cook,1287
79,jump,1278
80,sing,1273
81,blow,1255
82,bet,1251
83,drive,1247
84,fly,1232
85,wait,1220
86,sound,1205
87,recognize,1205
88,feed,1180
89,pop,1147
90,cry,1143
91,knock,1116
92,needta,1088
93,miss,1080
94,cut,1078
95,catch,1062
96,wonder,1058
97,pretend,1032
98,hafta,1000
99,drop,970
100,begin,967
