rank,verb,frequency
1,go,7302
2,do,6251
3,have,4979
4,know,4097
5,get,4056
6,think,3451
7,see,2789
8,like,2412
9,want,2057
10,say,1959
11,look,1714
12,tell,1689
13,wanna,1530
14,happen,1520
15,put,1471
16,make,1442
17,play,1381
18,eat,1348
19,come,1300
20,die,1149
21,take,887
22,remember,688
23,find,633
24,can,548
25,need,504
26,give,490
27,siapa,463
28,try,451
29,live,441
30,dulu,414
31,ist,413
32,use,404
33,sound,403
34,read,397
35,sit,372
36,start,356
37,talk,354
38,mean,349
39,m,348
40,call,345
41,ask,341
42,fall,312
43,stick,311
44,hear,309
45,hold,307
46,den,305
47,run,298
48,help,296
49,turn,283
50,apa,279
51,watch,276
52,work,250
53,bet,244
54,walk,243
55,show,236
56,bring,232
57,fly,219
58,keep,219
59,mit,219
60,leave,216
61,open,216
62,move,211
63,aja,211
64,gell,208
65,finish,206
66,stay,203
67,und,197
68,drink,195
69,guess,194
70,ekki,193
71,feel,186
72,pick,184
73,drive,182
74,jump,179
75,love,172
76,let,170
77,wonder,167
78,grow,153
79,learn,151
80,build,148
81,pull,140
82,buy,136
83,hafta,131
84,nur,128
85,stop,126
86,win,124
87,will,124
88,stand,124
89,ride,123
90,wear,121
91,fit,120
92,kalo,119
93,cut,115
94,break,115
95,pretend,115
96,sleep,115
97,wait,113
98,hurt,109
99,forget,108
100,fix,107
