age_group,age_min_mo,age_max_mo,z,mse,n_utterances,n_pairs,n_unique_verbs,n_unique_subjects
0-12mo,0,12,1.4599999999999995,1.0307265803180107e-06,179773,112551,1155,1484
12-24mo,12,24,1.3799999999999994,3.6019296616335736e-07,433642,265279,1739,3545
24-36mo,24,36,1.4599999999999995,2.6309134555378163e-07,1384635,989328,2897,7232
36-48mo,36,48,1.4099999999999995,6.988861557484214e-07,499978,385482,2072,4713
48-60mo,48,60,1.3999999999999995,1.0619528409632448e-06,372109,289471,2219,4303
60-72mo,60,72,1.3999999999999995,1.3274446697577857e-06,81657,62555,902,1381
72-84mo,72,84,1.3499999999999994,2.8056202564842437e-06,16944,12846,423,425
84-96mo,84,96,1.3899999999999995,2.4691202744525873e-06,34476,22993,615,765
