rank,actual_frequency,predicted_frequency,squared_error,num_verbs
75,0.000941527222182237,0.0007690566619987776,2.9746094129996288e-08,61
76,0.0009285935684386487,0.0007548272233209535,3.019474269556194e-08,59
77,0.0009061795720672745,0.0007410419562156546,2.7270432169157185e-08,57
78,0.0009008582470256292,0.0007276814938020921,2.999018785704586e-08,57
79,0.0008896081710631353,0.0007147275474818482,3.0583232504179816e-08,56
80,0.0008486597902018486,0.0007021628342089722,2.146135811517877e-08,54
81,0.000810143301670354,0.0006899710095008543,1.4441379805271608e-08,52
82,0.0008099997334088517,0.0006781366056724281,1.7387884456432372e-08,52
83,0.0008098561651473495,0.0006666449748285435,2.0509445032529286e-08,52
84,0.0007949178920878159,0.0006554822361958134,1.944230213403291e-08,51
85,0.0007645481137225721,0.000644635227416559,1.4379100302238845e-08,50
86,0.000730068959581402,0.0006340914594642929,9.211680528729676e-09,49
87,0.0007112533218997736,0.0006238390748730259,7.64125058325326e-09,46
88,0.0006928051845154859,0.0006138668090020117,6.231267128706269e-09,45
89,0.0006926392834133057,0.0006041639540837997,7.827883899964547e-09,45
90,0.0006765736513876569,0.0005947203258269631,6.699966905344921e-09,43
91,0.0006375425635420478,0.0005855262323659547,2.7056987090210017e-09,41
92,0.0005648529839395488,0.0005765724453694698,1.373457762074074e-10,38
93,0.0005581383565436826,0.00056785017313572,9.431938151737294e-11,38
94,0.000541659219100945,0.0005593510355183317,3.130003681465146e-10,37
95,0.0005172998104918619,0.0005510670405403963,1.1402258251506408e-09,34
96,0.000517080235503682,0.0005429905625666469,6.713450485098113e-10,34
97,0.000517080235503682,0.0005351143219149915,3.252282726905751e-10,34
98,0.000517080235503682,0.000527431365798796,1.0714589838642507e-10,34
99,0.0005068652623240363,0.0005199350505005262,1.7081936297831485e-10,33
100,0.0005039035921398047,0.0005126190246856906,7.595876446188711e-11,33
101,0.0005039035921398047,0.0005054772137735974,2.4762850463402986e-12,33
102,0.0005039035921398047,0.0004985038052883077,2.9157698041600446e-11,33
103,0.0005026988710208735,0.0004916932351194107,1.2112402159556692e-10,33
104,0.0005024726422451731,0.0004850401746279233,3.0389092722646214e-10,33
105,0.0005024726422451731,0.0004785395185377926,5.727944103927764e-10,33
106,0.0005070558999182042,0.0004721863735581877,1.2158838685718843e-09,32
107,0.000497456113976363,0.0004659760476860743,9.909945736409713e-10,31
108,0.000497456113976363,0.00045990404014248235,1.4101582492252261e-09,31
109,0.0004887417407603337,0.00045396603189947176,1.2093499267754327e-09,31
110,0.0004885009165797494,0.0004481578767580795,1.6275608620528404e-09,31
111,0.0004845939559287785,0.00044247559294053354,1.773956500809561e-09,30
112,0.0004845939559287785,0.00043691535516277404,2.273248971004039e-09,30
113,0.0004845939559287785,0.0004314734871558425,2.821784202656466e-09,30
114,0.000448706329348472,0.00042614645460701536,5.089479483502131e-10,29
115,0.000448706329348472,0.0004209308584936844,7.714767812051538e-10,29
116,0.00044759287254410573,0.00041582342878494224,1.009297556766652e-09,29
117,0.00044759287254410573,0.0004108210184876227,1.3521692507512879e-09,29
118,0.00043430370951795543,0.0004059205980152074,8.056010185774287e-10,28
119,0.00043403708274659415,0.00040111924985952567,1.0835837219809676e-09,28
120,0.00043403708274659415,0.0003964141635465849,1.415484049130425e-09,28
121,0.00043377045597523304,0.00039180263085915936,1.7612983449733446e-09,28
122,0.00043251634834208817,0.0003872820413099645,2.0461425326764347e-09,28
123,0.00043251634834208817,0.00038284987785034325,2.4667582911073693e-09,28
124,0.0004092086093879543,0.00037850371280041784,9.427906744513088e-10,27
125,0.0004068893463378957,0.0003742412039875963,1.0659011989254158e-09,27
126,0.0004068893463378957,0.0003700600910812037,1.3563940427625774e-09,27
127,0.0004037248473551565,0.0003659581921118115,1.4263202482696818e-09,25
128,0.00037834753884495196,0.00036193340016459216,2.69423948618084e-10,24
129,0.00037607005614447193,0.000357983680236716,3.271169934766543e-10,24
130,0.0003757589915778839,0.0003541070662494572,4.688058704277658e-10,24
131,0.0003757589915778839,0.0003503016582062705,6.480758223934616e-10,24
132,0.0003757589915778839,0.00034656561948865705,8.522529739400485e-10,24
133,0.0003757589915778839,0.00034289717428215527,1.0798990359778488e-09,24
134,0.00036796200258451875,0.0003392946051252715,8.218196770864543e-10,24
135,0.0003409689433426586,0.0003357562505746129,2.717216589403557e-11,23
136,0.0003364952950356499,0.0003322805029799012,1.7764472073202613e-11,23
137,0.00033617070592268847,0.00032886580636293233,5.336155757812538e-11,23
138,0.00033617070592268847,0.00032551065439491016,1.1363669857488869e-10,23
139,0.0003347667821258789,0.0003222135884669165,1.5758267103941385e-10,23
140,0.0003048853618005817,0.0003189731958485955,1.9846706816437658e-10,22
141,0.00029728301368077675,0.0003157881079304243,3.4243851318833954e-10,22
142,0.00029728301368077675,0.00031265699854521306,2.36359410611917e-10,22
143,0.0002969436705172261,0.0003095785823647353,1.5964099739432843e-10,22
144,0.0002969436705172261,0.00030655161336762824,9.231256581659388e-11,22
145,0.0002969436705172261,0.00030357488337492684,4.397298396413583e-11,22
146,0.0002969436705172261,0.0003006472206498014,1.3716283584498667e-11,22
147,0.0002969436705172261,0.0002977674885582699,6.786761647492683e-13,22
148,0.0003072951223524886,0.00029493458428783427,1.5278290124776916e-10,21
149,0.0003072951223524886,0.00029214743762116503,2.2945235271957368e-10,21
150,0.0003056229788416288,0.00028940500976211826,2.630225210639603e-10,21
151,0.0003056229788416288,0.0002867062922115204,3.5784103306172225e-10,21
152,0.00030526747647981385,0.0002840503056902982,4.501683363114756e-10,21
153,0.00026487934663085676,0.0002814360991076633,2.741260525782395e-10,20
154,0.00026487934663085676,0.00027886274857218726,1.9553552985280553e-10,20
155,0.00026487934663085676,0.0002763293564437189,1.3110272471463942e-10,20
156,0.00026487934663085676,0.00027383505042420653,8.020463043421944e-11,20
157,0.00024647176096186313,0.00027137898268559134,6.203696939949581e-10,19
158,0.00024647176096186313,0.0002689603290330354,5.057356938917491e-10,19
159,0.00024174967692766966,0.0002665782881018405,6.164599328381619e-10,18
160,0.00024133492417221887,0.0002642320805864981,5.242797718599672e-10,18
161,0.00024133492417221887,0.0002619209485003949,4.2378439764025463e-10,18
162,0.00024133492417221887,0.00025964415446477296,3.352279139057802e-10,18
