collection,corpus,state,n_utterances
Eng-NA,Snow,missing_age_after_text,4726
Eng-NA,Sprott,missing_age_after_text,1661
Eng-NA,StoopsMontag,missing_age_after_text,25844
Eng-NA,Sachs,analysis_eligible,12163
Eng-NA,Snow,analysis_eligible,9526
Eng-NA,Soderstrom,analysis_eligible,25782
Eng-NA,Suppes,analysis_eligible,32387
Eng-NA,Tardif,analysis_eligible,13732
Eng-NA,Valian,analysis_eligible,26841
Eng-NA,VanHouten,missing_text,56
Eng-NA,VanKleeck,missing_text,2
Eng-NA,Warren,missing_text,14
Eng-NA,Weist,missing_text,158
Eng-UK,Belfast,missing_text,803
Eng-UK,Edinburgh,missing_text,7416
Eng-UK,Belfast,missing_age_after_text,875
Eng-UK,Edinburgh,missing_age_after_text,3110
Eng-NA,VanHouten,analysis_eligible,8737
Eng-NA,VanKleeck,analysis_eligible,8754
Eng-NA,Warren,analysis_eligible,5839
Eng-NA,Weist,analysis_eligible,64035
Eng-UK,Belfast,analysis_eligible,78390
Eng-UK,Edinburgh,analysis_eligible,84436
Eng-UK,Fletcher,missing_text,637
Eng-UK,Forrester,missing_text,43
Eng-UK,Gathburn,missing_text,137
Eng-UK,Howe,missing_text,396
Eng-UK,KellyQuigley,missing_text,5
Eng-UK,Lara,missing_text,2309
Eng-UK,Gathburn,missing_age_after_text,13863
Eng-UK,KellyQuigley,missing_age_after_text,6209
Eng-UK,Fletcher,analysis_eligible,25746
Eng-UK,Forrester,analysis_eligible,10418
Eng-UK,Howe,analysis_eligible,9280
Eng-UK,Lara,analysis_eligible,94718
Eng-UK,MPI-EVA-Manchester,missing_text,10300
Eng-UK,MPI-EVA-Manchester,missing_age_after_text,237048
Eng-UK,MPI-EVA-Manchester,analysis_eligible,236378
Eng-UK,Manchester,missing_text,1585
Eng-UK,Manchester,analysis_eligible,369185
Eng-UK,Nuffield,missing_text,301
Eng-UK,Sekali,missing_text,89
Eng-UK,Nuffield,missing_age_after_text,13230
Eng-UK,Sekali,missing_age_after_text,95656
Eng-UK,Thomas,missing_text,4232
