"collection_name","collection_id","corpus_name","corpus_id","n_retrieved","n_retained"
"Eng-NA","9","Braunwald","132",42838,42838
"Eng-NA","9","EHS","139",142209,141612
"Eng-NA","9","FMB_book","141",4104,4104
"Eng-NA","9","FMB_home","142",26003,26003
"Eng-NA","9","Gelman","146",37215,37215
"Eng-NA","9","Gleason","147",36447,36447
"Eng-NA","9","HSLLD","149",223694,223694
"Eng-NA","9","OCSC","165",133171,133171
"Eng-NA","9","Peters","166",25991,25991
"Eng-NA","9","Post","168",29139,29139
"Eng-NA","9","Rowe","170",57334,57334
"Eng-NA","9","Sachs","171",12174,12174
"Eng-NA","9","Valian","179",26965,26965
"Eng-NA","9","Weist","183",64193,64193
"Eng-UK","10","Wells","198",45694,45694
"Eng-NA","27","Penney","391",656,656
"Eng-NA","27","Providence","392",214898,214898
"Eng-NA","9","Bliss","129",1017,1017
"Eng-NA","9","Bohannon","131",6707,6707
"Eng-NA","9","Brown","134",86762,86762
"Eng-NA","9","Clark","136",23433,23433
"Eng-NA","9","Demetras2","138",15394,15394
"Eng-NA","9","Gathercole","145",2636,2636
"Eng-NA","9","Kuczaj","154",28208,28208
"Eng-NA","9","MacWhinney","156",108532,108532
"Eng-NA","9","McMillan","158",145,145
"Eng-NA","9","Morisset","159",19399,19399
"Eng-NA","9","Snow","173",14294,14294
"Eng-NA","9","Sprott","175",1668,1668
"Eng-NA","9","StoopsMontag","176",26126,26126
"Eng-NA","9","VanKleeck","181",8756,8756
"Eng-UK","10","Belfast","184",80068,80068
"Eng-UK","10","Forrester","187",10461,10461
"Eng-UK","10","Gathburn","188",14000,14000
"Eng-UK","10","MPI-EVA-Manchester","192",483726,483726
"Eng-UK","10","Manchester","193",370770,370770
"Eng-UK","10","Thomas","196",348217,348217
"Eng-UK","10","Tommerdahl","197",13010,13010
"Eng-NA","27","Menn","389",2758,2758
"Eng-NA","9","Soderstrom","174",26995,26995
"Eng-NA","9","VanHouten","180",8793,8793
"Eng-UK","10","Edinburgh","185",94962,94962
"Eng-UK","10","Howe","189",9676,9676
"Eng-NA","9","Bates","127",8775,8775
"Eng-NA","9","Bloom","130",32400,32400
"Eng-NA","9","Champaign","135",210274,210274
"Eng-NA","9","Demetras1","137",7973,7973
"Eng-NA","9","Feldman","143",101595,101595
"Eng-NA","9","Higginson","153",9672,9672
"Eng-NA","9","Nelson","160",3919,3919
"Eng-NA","9","NewEngland","161",170678,170678
"Eng-NA","9","Suppes","177",32571,32571
"Eng-NA","9","Warren","182",5853,5853
"Eng-UK","10","KellyQuigley","190",6214,6214
"Eng-UK","10","Lara","191",97027,97027
"Eng-UK","10","Sekali","195",95745,95745
"Eng-NA","9","Bernstein","128",12601,12601
"Eng-NA","9","Evans","140",10,10
"Eng-NA","9","Hicks","152",5041,5041
"Eng-NA","9","NewmanRatner","162",166778,166778
"Eng-NA","9","Nippold","164",3424,3424
"Eng-NA","9","PetersonMcCabe","167",7298,7298
"Eng-NA","9","Rollins","169",68626,68626
"Eng-NA","9","Sawyer","172",3367,3367
"Eng-UK","10","Fletcher","186",26383,26383
"Eng-NA","9","Brent","133",176217,176217
"Eng-NA","9","McCune","157",30441,30441
"Eng-NA","9","Tardif","178",13802,13802
"Eng-NA","9","Hall","151",85563,85563
"Eng-NA","9","Lego","155",96889,96889
"Eng-UK","10","Nuffield","194",13531,13531
"Eng-NA","9","Gopnik","148",6156,6156
"Eng-NA","9","Garvey","144",9,9
