z,mse
0.1,4.789422649076248e-05
0.11,4.7878313289145716e-05
0.12,4.7861402744407595e-05
0.13,4.7843432548704905e-05
0.13999999999999999,4.782433672551396e-05
0.14999999999999997,4.780404543876617e-05
0.15999999999999998,4.778248479480926e-05
0.16999999999999998,4.775957663724629e-05
0.17999999999999997,4.773523833475255e-05
0.18999999999999995,4.7709382562026125e-05
0.19999999999999996,4.768191707408983e-05
0.20999999999999996,4.7652744474231974e-05
0.21999999999999995,4.762176197595068e-05
0.22999999999999995,4.758886115935335e-05
0.23999999999999994,4.7553927722557443e-05
0.24999999999999992,4.751684122874489e-05
0.2599999999999999,4.747747484963712e-05
0.2699999999999999,4.743569510628409e-05
0.2799999999999999,4.739136160819916e-05
0.2899999999999999,4.734432679201965e-05
0.29999999999999993,4.729443566103551e-05
0.30999999999999994,4.724152552710195e-05
0.3199999999999999,4.718542575663851e-05
0.32999999999999985,4.712595752261606e-05
0.33999999999999986,4.7062933564644614e-05
0.34999999999999987,4.6996157959499425e-05
0.3599999999999999,4.6925425904657e-05
0.3699999999999999,4.68505235176603e-05
0.3799999999999999,4.6771227654387586e-05
0.3899999999999999,4.668730574956427e-05
0.3999999999999998,4.6598515683128025e-05
0.4099999999999998,4.650460567633288e-05
0.4199999999999998,4.6405314221755495e-05
0.4299999999999998,4.6300370051641565e-05
0.43999999999999984,4.618949214930212e-05
0.44999999999999984,4.607238980852921e-05
0.45999999999999985,4.594876274624783e-05
0.46999999999999986,4.581830127384785e-05
0.47999999999999976,4.56806865328396e-05
0.48999999999999977,4.553559080064461e-05
0.4999999999999998,4.5382677872460746e-05
0.5099999999999998,4.522160352521849e-05
0.5199999999999998,4.505201606966692e-05
0.5299999999999998,4.487355699658228e-05
0.5399999999999998,4.468586172297002e-05
0.5499999999999998,4.448856044392383e-05
0.5599999999999997,4.42812790955008e-05
0.5699999999999997,4.4063640433561314e-05
0.5799999999999997,4.3835265232995915e-05
0.5899999999999997,4.359577361111026e-05
0.5999999999999998,4.334478647815335e-05
0.6099999999999998,4.308192711704912e-05
0.6199999999999998,4.280682289331953e-05
0.6299999999999997,4.2519107094964926e-05
0.6399999999999997,4.2218420900695036e-05
0.6499999999999997,4.190441547338179e-05
0.6599999999999997,4.15767541739371e-05
0.6699999999999997,4.123511488901631e-05
0.6799999999999997,4.0879192464020123e-05
0.6899999999999997,4.050870123083342e-05
0.6999999999999996,4.012337761761974e-05
0.7099999999999996,3.9722982825810005e-05
0.7199999999999996,3.930730555721623e-05
0.7299999999999996,3.88761647719997e-05
0.7399999999999997,3.8429412456069225e-05
0.7499999999999997,3.796693637442265e-05
0.7599999999999997,3.748866278502179e-05
0.7699999999999997,3.699455908605659e-05
0.7799999999999997,3.648463636796231e-05
0.7899999999999996,3.595895184035509e-05
0.7999999999999996,3.541761110319684e-05
0.8099999999999996,3.4860770231043125e-05
0.8199999999999996,3.428863763920713e-05
0.8299999999999996,3.3701475701132424e-05
0.8399999999999996,3.30996020872383e-05
0.8499999999999996,3.248339079700456e-05
0.8599999999999995,3.185327285811376e-05
0.8699999999999996,3.120973666906468e-05
0.8799999999999996,3.055332796480295e-05
0.8899999999999996,2.9884649388552816e-05
0.8999999999999996,2.9204359657141604e-05
0.9099999999999996,2.8513172311629605e-05
0.9199999999999996,2.7811854049926187e-05
0.9299999999999996,2.7101222643208584e-05
0.9399999999999996,2.638214444327303e-05
0.9499999999999995,2.565553149334061e-05
0.9599999999999995,2.492233826020631e-05
0.9699999999999995,2.4183558010853147e-05
0.9799999999999995,2.344021886164312e-05
0.9899999999999995,2.2693379532839246e-05
0.9999999999999996,2.194412484540692e-05
1.0099999999999996,2.1193561000697416e-05
1.0199999999999996,2.0442810686651986e-05
1.0299999999999996,1.9693008056517045e-05
1.0399999999999996,1.894529362767934e-05
1.0499999999999996,1.8200809149083574e-05
1.0599999999999996,1.7460692485770643e-05
1.0699999999999996,1.6726072568377938e-05
1.0799999999999996,1.599806445399863e-05
1.0899999999999996,1.5277764542644366e-05
1.0999999999999996,1.4566245990754746e-05
1.1099999999999997,1.386455435981655e-05
1.1199999999999997,1.3173703534279332e-05
1.1299999999999997,1.2494671938672854e-05
1.1399999999999997,1.1828399079242205e-05
1.1499999999999995,1.1175782430619737e-05
1.1599999999999995,1.0537674683146744e-05
1.1699999999999995,9.91488136154315e-06
1.1799999999999995,9.308158820787103e-06
