rank,verb,frequency
1,be,9998
2,go,4018
3,get,2048
4,do,1723
5,see,1368
6,have,1120
7,wanna,1057
8,know,911
9,want,775
10,say,721
11,think,715
12,put,666
13,like,595
14,come,472
15,play,413
16,look,395
17,try,294
18,take,267
19,make,262
20,need,251
21,hear,205
22,eat,204
23,give,173
24,fall,164
25,find,162
26,love,142
27,sit,142
28,help,133
29,throw,127
30,turn,123
31,feel,120
32,let,120
33,read,119
34,tell,116
35,needta,104
36,talk,98
37,wash,97
38,hold,95
39,stand,89
40,walk,87
41,hurt,84
42,can,80
43,open,76
44,mean,74
45,pull,73
46,drop,72
47,watch,70
48,clean,69
49,work,68
50,leave,67
51,run,62
52,wave,62
53,chew,62
54,sing,61
55,keep,60
56,roll,59
57,wear,57
58,move,55
59,bring,55
60,guess,55
61,change,55
62,crawl,53
63,start,50
64,stay,50
65,shake,46
66,reach,45
67,push,44
68,close,44
69,call,44
70,use,43
71,knock,43
72,show,43
73,taste,43
74,clap,42
75,smell,40
76,pick,39
77,stop,39
78,bite,37
79,touch,36
80,build,35
81,hide,35
82,finish,35
83,forget,34
84,sound,34
85,bless,34
86,remember,34
87,hafta,33
88,fix,33
89,laugh,33
90,happen,32
91,check,32
92,hope,32
93,bang,31
94,learn,30
95,wait,30
96,miss,29
97,drink,29
98,spit,29
99,jump,29
100,hit,28
