age_group,age_min_mo,age_max_mo,z,mse,n_utterances,n_pairs,n_unique_verbs,n_unique_subjects
0-12mo,0,12,1.4599999999999995,9.780627788394913e-07,182023,113607,1180,1516
12-24mo,12,24,1.3999999999999995,2.5980589103328397e-07,669921,350578,3515,6037
24-36mo,24,36,1.4499999999999995,2.61555094906349e-07,1858350,1151713,5995,11840
36-48mo,36,48,1.3799999999999994,5.821851930809158e-07,895907,545454,4295,8418
48-60mo,48,60,1.3799999999999994,6.799937058618657e-07,605965,394345,3734,7045
60-72mo,60,72,1.3399999999999994,3.0308534878906737e-07,219277,115372,2093,3642
72-84mo,72,84,1.3499999999999994,2.7409858715522393e-07,83883,44406,1058,1707
84-96mo,84,96,1.3899999999999995,3.4834726667852866e-07,75231,42066,974,1521
